,,,STANDARD HUDDLE ROOM,,,
QTY,MFG,MODEL,DESCRIPTION,UNIT PRICE,EXTENDED PRICE,
1,SAMSUNG,BE55FX-H,"LCD, 55"" 4K/UHD 31LBS 300NIT 16/7 W/SPEAKERS COO MEXICO TAA",$520.27,$520.27,
1,CHIEF,MSM1U,"FUSION MICRO-ADJUSTABLE FIXED WALL MOUNT, MEDIUM",$170.49,$170.49,
1,TRIPPLITE,TLP606B,Tripp Lite Surge Protector Power Strip 120V 6 Outlet 6' Cord 790 Joule Black,$18.39,$18.39,
1,LOGITECH,960-001691,"CAMERA, MEETUP 2 ALL IN ONE USB CONFERENCE WITH BUILT IN AI",$644.80,$644.80,
1,LOGITECH,952-000188,USB-C EXTEND CONNECTION FOR BYOD MEETINGS,$672.90,$672.90,
1,MISC,MISC,"MISC INSTALL MATERIALS- WIRE, CABLE, ETC",$630.00,$630.00,
 , , ,"Equipment includes all material to complete standard room installation. Does not include custom items such as floor track, specialty mounts, etc. if required. ",,"$2,656.85",EQUIPMENT
,,,"Professional Services vary based on number of rooms to be completed and location and include Project Management, Engineering, Commissioning, Delivery, Installation, CAD Drawings, Travel, Mileage, Shipping,  Insurance, 1-Year Support. Etc. ",,"$4,045.00",PROFESSIONAL SERVICES
,,,,,,
,,,STANDARD SMALL CONFERENCE ROOM,,,
QTY,MFG,MODEL,DESCRIPTION,UNIT PRICE,EXTENDED PRICE,
1,SAMSUNG,BE55FX-H,"LCD, 55"" 4K/UHD 31LBS 300NIT 16/7 W/SPEAKERS COO MEXICO TAA",$520.27,$520.27,
1,CHIEF,MSM1U,"FUSION MICRO-ADJUSTABLE FIXED WALL MOUNT, MEDIUM",$170.49,$170.49,
1,CHIEF,CHICSMP9X12,"COMPONENT STORAGE PANEL, INTERFACE",$47.56,$47.56,
1,LOGITECH,LOGTAPMSTBASELNV4,"KIT, BASE MICROSOFT TEAMS RM W/TAP+ LENOVO CORE GEN 2 NO AV","$2,257.68","$2,257.68",
1,LOGITECH,LOG960001691,,$644.80,$644.80,
1,MISC,MISC,"MISC INSTALL MATERIALS- WIRE, CABLE, ETC",$630.00,$630.00,
 , , ,"Equipment includes all material to complete standard room installation. Does not include custom items such as floor track, specialty mounts, etc. if required. ",,"$4,270.80",EQUIPMENT
,,,"Professional Services vary based on number of rooms to be completed and location and include Project Management, Engineering, Commissioning, Delivery, Installation, CAD Drawings, Travel, Mileage, Shipping,  Insurance, 1-Year Support. Etc. ",,"$4,045.00",PROFESSIONAL SERVICES
,,,,,,
,,,STANDARD MEDIUM CONFERENCE ROOM,,,
QTY,MFG,MODEL,DESCRIPTION,UNIT PRICE,EXTENDED PRICE,
1,SAMSUNG,BE75FX-H,"LCD, 75"" 4K/UHD 300NIT 69LB W/SPEAKERS 16/7 COO MEXICO TAA",$926.80,$926.80,
1,CHIEF,MTM1U,"MOUNT, MEDIUM FUSION MICRO-ADJ TILT WALL MOUNT",$170.49,$170.49,
1,CHIEF,CHICSMP9X12,"COMPONENT STORAGE PANEL, INTERFACE",$47.56,$47.56,
1,TRIPPLITE,TLP606B,Tripp Lite Surge Protector Power Strip 120V 6 Outlet 6' Cord 790 Joule Black,$18.39,$18.39,
1,LOGITECH,LOGTAPMSTBASELNV4,"KIT, BASE MICROSOFT TEAMS RM W/TAP+ LENOVO CORE GEN 2 NO AV","$2,257.68","$2,257.68",
1,LOGITECH,LOG960001308,"WEBCAM, RALLY BAR ALL-IN-ONE VIDEO BAR MEDIUM ROOM(GRAPHITE)","$3,011.73","$3,011.73",
1,LOGITECH,LOG989000430,"MICROPHONE POD, ADD ON MIC, OMNI DIRECTIONAL",$286.89,$286.89,
1,LOGITECH,LOG952000181,"ADAPTER, RALLY MIC POD CAT COUPLER, BLACK",$86.06,$86.06,
1,MISC,MISC,"MISC INSTALL MATERIALS- WIRE, CABLE, ETC",$670.00,$670.00,
 , , ,"Equipment includes all material to complete standard room installation. Does not include custom items such as floor track, specialty mounts, etc. if required. ",,"$6,330.75",EQUIPMENT
,,,"Professional Services vary based on number of rooms to be completed and location and include Project Management, Engineering, Commissioning, Delivery, Installation, CAD Drawings, Travel, Mileage, Shipping,  Insurance, 1-Year Support. Etc. ",,"$4,445.00",PROFESSIONAL SERVICES
,,,,,,
,,,STANDARD LARGE CONFERENCE ROOM,,,
QTY,MFG,MODEL,DESCRIPTION,UNIT PRICE,EXTENDED PRICE,
1,SAMSUNG,BE85FX-H,"LCD, 85"" 4K/UHD 300NIT 95LB W/SPEAKERS 16/7 TAA","$1,395.82","$1,395.82",
1,CHIEF,CHILTM1U,"MOUNT, MICRO ADJUST TILT WALL MOUNT, LARGE",$170.49,$170.49,
1,CHIEF,CHICSMP9X12,"COMPONENT STORAGE PANEL, INTERFACE",$47.56,$47.56,
1,TRIPPLITE,TLP606B,Tripp Lite Surge Protector Power Strip 120V 6 Outlet 6' Cord 790 Joule Black,$18.39,$18.39,
1,LOGITECH,LOGTAPMSTBASELNV4,"KIT, BASE MICROSOFT TEAMS RM W/TAP+ LENOVO CORE GEN 2 NO AV","$2,257.68","$2,257.68",
1,LOGITECH,LOG960001308,"WEBCAM, RALLY BAR ALL-IN-ONE VIDEO BAR MEDIUM ROOM(GRAPHITE)","$3,011.73","$3,011.73",
3,LOGITECH,LOG952000038,"MICROPHONE POD, ADD ON MIC, OMNI DIRECTIONAL WHITE",$336.85,"$1,010.55",
3,LOGITECH,LOG952000020,"MOUNT, CEILING MICROPHONE - WHITE",$71.57,$214.71,
3,LOGITECH,LOG952000181,"ADAPTER, RALLY MIC POD CAT COUPLER, BLACK",$86.06,$258.18,
1,MISC,MISC,"MISC INSTALL MATERIALS- WIRE, CABLE, ETC","$1,047.39","$1,047.39",
 , , ,"Equipment includes all material to complete standard room installation. Does not include custom items such as floor track, specialty mounts, etc. if required. ",,"$7,800.24",EQUIPMENT
,,,"Professional Services vary based on number of rooms to be completed and location and include Project Management, Engineering, Commissioning, Delivery, Installation, CAD Drawings, Travel, Mileage, Shipping,  Insurance, 1-Year Support. Etc. ",,"$4,445.00",PROFESSIONAL SERVICES
,,,,,,
,,,EXECUTIVE LARGE CONFERENCE ROOM,,,
QTY,MFG,MODEL,DESCRIPTION,UNIT PRICE,EXTENDED PRICE,
1,SAMSUNG,BE85FX-H,"LCD, 85"" 4K/UHD 300NIT 95LB W/SPEAKERS 16/7 TAA","$1,395.82","$1,395.82",
1,CHIEF,CHILTM1U,"MOUNT, MICRO ADJUST TILT WALL MOUNT, LARGE",$170.49,$170.49,
1,CHIEF,CHICSMP9X12,"COMPONENT STORAGE PANEL, INTERFACE",$47.56,$47.56,
1,TRIPPLITE,TLP606B,Tripp Lite Surge Protector Power Strip 120V 6 Outlet 6' Cord 790 Joule Black,$18.39,$18.39,
1,LOGITECH,LOGTAPMSTBASELNV4,"KIT, BASE MICROSOFT TEAMS RM W/TAP+ LENOVO CORE GEN 2 NO AV","$2,257.68","$2,257.68",
1,AVER INFORMATION,AVECOM520PR3,"CAMERA, CAM520 PRO3 USB PTZ","$1,389.15","$1,389.15",
1,BIAMP SYSTEMS,US-BIAM-MRB-L-X400-T-CIC6-US-USD,Biamp MRB-L-X400-T Large meeting room bundle with TesiraFORTE X 400 and black table microphones,"$6,338.41","$6,338.41",
1,MISC,MISC,"MISC INSTALL MATERIALS- WIRE, CABLE, ETC","$1,047.39","$1,047.39",
 , , ,"Equipment includes all material to complete standard room installation. Does not include custom items such as floor track, specialty mounts, etc. if required. ",,"$11,032.63",EQUIPMENT
,,,"Professional Services vary based on number of rooms to be completed and location and include Project Management, Engineering, Commissioning, Delivery, Installation, CAD Drawings, Travel, Mileage, Shipping,  Insurance, 1-Year Support. Etc. ",,"$5,045.00",PROFESSIONAL SERVICES
